Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"WebDev.WebServer40.EXE","25,081",0,100.00,0.00,"",
0,"ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)","10,627",0,42.37,0.00,"App_Web_h4prl0my.dll",
1,"System.Web.UI.Page.ProcessRequest(class System.Web.HttpContext)","10,627",977,42.37,3.90,"System.Web.dll",
2,"BingAnswers.Answers.Page_Load(object,class System.EventArgs)","9,650",976,38.48,3.89,"BingAnswers.DLL",
3,"System.Threading.Thread.get_IsAlive()","5,888","5,888",23.48,23.48,"mscorlib.dll",
3,"System.Collections.Generic.List`1.GetEnumerator()","1,203","1,203",4.80,4.80,"mscorlib.dll",
3,"System.Collections.Generic.List`1.Enumerator.MoveNext()",936,936,3.73,3.73,"mscorlib.dll",
3,"System.Collections.Generic.List`1..ctor()",458,458,1.83,1.83,"mscorlib.dll",
3,"System.Collections.Generic.List`1.Enumerator.get_Current()",73,73,0.29,0.29,"mscorlib.dll",
3,"System.Collections.Generic.List`1.Enumerator.Dispose()",40,40,0.16,0.16,"mscorlib.dll",
3,"System.Collections.Generic.List`1.get_Count()",27,27,0.11,0.11,"mscorlib.dll",
3,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",22,22,0.09,0.09,"clr.dll",
3,"System.Web.UI.WebControls.Repeater.DataBind()",11,0,0.04,0.00,"System.Web.dll",
4,"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",10,1,0.04,0.00,"App_Web_h4prl0my.dll",
5,"System.Web.UI.DataBinder.Eval(object,string)",7,7,0.03,0.03,"System.Web.dll",
5,"System.Convert.ToString(object,class System.IFormatProvider)",2,2,0.01,0.01,"mscorlib.dll",
4,"ASP.answers_aspx.__BuildControl__control2(class System.Web.UI.Control)",1,0,0.00,0.00,"App_Web_h4prl0my.dll",
5,"ASP.answers_aspx.__BuildControl__control3()",1,0,0.00,0.00,"App_Web_h4prl0my.dll",
6,"System.Web.UI.DataBoundLiteralControl..ctor(int32,int32)",1,1,0.00,0.00,"System.Web.dll",
3,"BingAnswers.StackOverflow..ctor()",4,0,0.02,0.00,"BingAnswers.DLL",
4,"NLog.LogManager.GetCurrentClassLogger()",4,0,0.02,0.00,"NLog.DLL",
