Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"__EH_epilog3",2,0.01,0x6DDA173C,534,0,534,0,
"__EH_epilog3",1,0.00,0x6DDA1748,541,0,541,0,
"_JIT_WriteBarrierEAX@0",15,0.06,0x6DDA2FB0,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",1,0.00,0x6DDA2FB2,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",1,0.00,0x6DDA2FBE,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",6,0.02,0x6DDA2FC7,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEBX@0",2,0.01,0x6DDA2FE0,"2,299",0,"2,299",0,
"_JIT_WriteBarrierEBX@0",1,0.00,0x6DDA2FEE,"2,299",0,"2,299",0,
"_JIT_WriteBarrierEBX@0",1,0.00,0x6DDA2FF5,"2,299",0,"2,299",0,
"_JIT_WriteBarrierEDI@0",1,0.00,0x6DDA307E,"2,302",0,"2,302",0,
"_JIT_WriteBarrierESI@0",1,0.00,0x6DDA3040,"2,301",0,"2,301",0,
"_JIT_WriteBarrierESI@0",1,0.00,0x6DDA3042,"2,301",0,"2,301",0,
"ASP.answers_aspx.__DataBind__control3(object,class System.EventArgs)",1,0.00,0x134F6130,53,13,53,179,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",16,0.06,0x0BC1CB9E,113,17,113,42,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",2,0.01,0x0BC1CBA7,113,17,113,42,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",34,0.14,0x0BC1CBA9,113,17,113,42,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",25,0.10,0x0BC1CBAE,113,17,113,42,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",21,0.08,0x0BC1CA61,115,21,115,53,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",162,0.65,0x0BC1CA6B,115,21,115,53,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",16,0.06,0x0BC1CA74,115,21,115,53,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",9,0.04,0x0BC1CA9B,116,30,116,43,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",31,0.12,0x0BC1CAA8,116,30,116,43,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",17,0.07,0x0BC1CA8A,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",28,0.11,0x0BC1CA97,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",26,0.10,0x0BC1CAF4,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",29,0.12,0x0BC1CB01,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",8,0.03,0x0BC1CB0C,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",4,0.02,0x0BC1CB13,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",17,0.07,0x0BC1CB18,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",17,0.07,0x0BC1CB1A,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",19,0.08,0x0BC1CB27,116,44,116,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",21,0.08,0x0BC1CA83,116,47,116,54,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",24,0.10,0x0BC1CAAC,117,25,117,45,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",137,0.55,0x0BC1CAAE,117,25,117,45,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",34,0.14,0x0BC1CAB4,117,25,117,45,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",24,0.10,0x0BC1CB37,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",32,0.13,0x0BC1CB44,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",27,0.11,0x0BC1CB79,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",73,0.29,0x0BC1CB80,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",14,0.06,0x0BC1CB87,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",18,0.07,0x0BC1CB8E,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",22,0.09,0x0BC1CB9B,124,44,124,46,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",17,0.07,0x0BC1CB2A,124,47,124,57,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",3,0.01,0x0BC1CB32,124,47,124,57,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",20,0.08,0x0BC1CCAB,131,68,131,104,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",29,0.12,0x0BC1CCB7,131,68,131,104,
"BingAnswers.ehow.GetAnswer(string)",1,0.00,0x134F09BE,25,13,25,61,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",1,0.00,0x134F215B,60,13,60,38,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",2,0.01,0x134F20CD,62,17,62,62,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",1,0.00,0x134F2127,63,40,63,42,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",2,0.01,0x134F2132,63,40,63,42,
"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",1,0.00,0x134F2140,63,40,63,42,
