Mark ID,Mark Name,Timestamp,\Processor(_Total)\% Processor Time,\Memory\Pages/sec,\Processor(_Total)\% Privileged Time,\Processor(_Total)\% User Time,\.NET CLR Exceptions(WebDev.WebServer40)\# of Exceps Thrown / sec,\.NET CLR Memory(WebDev.WebServer40)\# Bytes in all Heaps,\.NET CLR Memory(WebDev.WebServer40)\# Total committed bytes,\.NET CLR Memory(WebDev.WebServer40)\# Gen 0 Collections,\.NET CLR Memory(WebDev.WebServer40)\# Gen 1 Collections,\.NET CLR Memory(WebDev.WebServer40)\# Gen 2 Collections,\.NET CLR Memory(WebDev.WebServer40)\% Time in GC,\Process(WebDev.WebServer40)\% Processor Time,\Process(WebDev.WebServer40)\% Privileged Time,\Process(WebDev.WebServer40)\% User Time,\Process(WebDev.WebServer40)\Private Bytes,\.NET CLR LocksAndThreads(WebDev.WebServer40)\Contention Rate / sec,\Process(WebDev.WebServer40)\Working Set,
1,"AutoMark",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,"Start of Program",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"AutoMark",522.83,14,"3,978",5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,"AutoMark","1,041.83",13,406,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"AutoMark","1,546.81",34,693,11,21,0,0,0,0,0,0,0,0,0,0,"52,117,504",0,"56,463,360",
5,"AutoMark","2,108.99",32,"1,309",8,25,0,0,0,0,0,0,0,119,18,100,"66,871,296",0,"66,854,912",
6,"AutoMark","2,651.92",28,583,6,22,1,0,0,0,0,0,0,89,17,71,"70,823,936",0,"71,434,240",
7,"AutoMark","3,177.01",14,757,3,11,0,0,0,0,0,0,0,71,11,59,"74,473,472",0,"76,840,960",
8,"AutoMark","3,692.01",18,"2,009",4,14,0,0,0,0,0,0,0,87,3,84,"81,805,312",0,"121,614,336",
9,"AutoMark","4,207.00",14,"2,025",3,10,0,0,0,0,0,0,0,66,6,60,"91,271,168",0,"135,843,840",
10,"AutoMark","5,217.06",19,799,4,14,0,"1,421,000","5,382,144",1,0,0,0,72,7,64,"98,205,696",0,"146,108,416",
11,"AutoMark","5,737.11",19,86,6,15,0,"1,421,000","5,382,144",1,0,0,0,36,3,33,"98,734,080",0,"146,821,120",
12,"AutoMark","6,745.15",11,39,4,6,0,"1,421,000","5,382,144",1,0,0,0,17,0,17,"99,840,000",0,"148,115,456",
13,"AutoMark","7,247.20",4,0,3,3,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
14,"AutoMark","8,250.23",7,0,3,3,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
15,"AutoMark","9,252.30",5,23,1,3,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
16,"AutoMark","10,255.38",8,0,3,5,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
17,"AutoMark","10,757.37",4,0,2,4,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
18,"AutoMark","11,759.47",7,23,3,5,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
19,"AutoMark","12,283.50",9,0,2,2,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
20,"AutoMark","12,785.60",4,0,2,4,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
21,"AutoMark","13,788.55",10,7,4,5,0,"1,421,000","5,382,144",1,0,0,0,0,0,0,"99,840,000",0,"148,115,456",
22,"AutoMark","14,790.57",10,19,2,8,0,"1,421,000","5,382,144",1,0,0,0,20,3,17,"100,679,680",0,"149,135,360",
23,"AutoMark","15,794.69",40,150,4,35,1,"2,150,080","8,134,656",8,7,1,2,279,12,267,"136,744,960",24,"162,803,712",
24,"AutoMark","16,324.33",51,126,7,44,0,"2,718,456","8,392,704",41,40,2,13,330,20,309,"148,615,168",0,"165,015,552",
25,"AutoMark","16,832.08",51,21,4,48,0,"3,929,964","10,289,152",81,80,2,26,386,0,386,"149,000,192",0,"166,973,440",
26,"AutoMark","17,346.79",38,0,3,35,0,"4,636,244","11,452,416",108,107,3,1,257,0,257,"136,499,200",0,"167,456,768",
27,"AutoMark","17,854.85",30,0,4,27,0,"5,230,160","12,341,248",133,132,4,2,193,3,190,"133,955,584",0,"168,259,584",
28,"AutoMark","18,866.87",14,0,2,10,0,"5,245,300","11,677,696",146,144,5,12,35,0,35,"129,978,368",0,"167,579,648",
29,"AutoMark","19,368.93",5,0,3,4,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"129,978,368",0,"167,579,648",
30,"AutoMark","19,872.01",9,0,1,6,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"129,978,368",0,"167,579,648",
31,"AutoMark","20,874.94",11,0,5,6,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"129,978,368",0,"167,579,648",
32,"AutoMark","21,877.02",7,7,3,6,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"133,402,624",0,"167,890,944",
33,"AutoMark","22,398.07",12,0,3,4,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"133,443,584",0,"168,009,728",
34,"AutoMark","23,400.13",10,0,4,6,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"133,443,584",0,"168,009,728",
35,"AutoMark","24,402.18",10,0,4,5,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"133,443,584",0,"168,009,728",
36,"AutoMark","25,404.24",7,0,1,5,0,"5,245,300","11,677,696",146,144,5,12,0,0,0,"133,443,584",0,"168,009,728",
