Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,16984,"WebDev.WebServer40.EXE","1,281.06","192,576.21","191,295.15",
"Thread",2,14316,"__CorExeMain_Exported@0","1,343.46","192,046.55","190,703.09",
"Thread",3,13684,"Thread::intermediateThreadProc(void *)","1,684.85","192,042.87","190,358.02",
"Thread",4,8832,"Thread::intermediateThreadProc(void *)","1,684.99","61,942.61","60,257.62",
"Thread",5,19144,"Thread::intermediateThreadProc(void *)","1,684.98","167,897.88","166,212.90",
"Thread",6,11728,"Thread::intermediateThreadProc(void *)","1,781.82","29,994.62","28,212.80",
"Thread",7,19820,"ThreadpoolMgr::TimerThreadStart(void *)","1,787.98","192,042.92","190,254.94",
"Thread",8,15524,"Thread::intermediateThreadProc(void *)","1,909.13","192,042.88","190,133.76",
"Thread",9,9332,"Thread::intermediateThreadProc(void *)","4,651.69","192,042.92","187,391.23",
"Thread",10,8508,"Thread::intermediateThreadProc(void *)","14,595.03","61,942.50","47,347.47",
"Thread",11,14236,"Thread::intermediateThreadProc(void *)","14,940.77","16,038.72","1,097.95",
"Thread",12,3812,"Thread::intermediateThreadProc(void *)","14,941.17","18,018.79","3,077.62",
"Thread",13,13124,"Thread::intermediateThreadProc(void *)","14,941.45","16,310.44","1,368.99",
"Thread",14,2600,"Thread::intermediateThreadProc(void *)","14,941.65","17,227.72","2,286.07",
"Thread",15,15448,"Thread::intermediateThreadProc(void *)","14,941.88","16,335.04","1,393.16",
"Thread",16,11240,"Thread::intermediateThreadProc(void *)","14,942.08","16,007.29","1,065.21",
"Thread",17,7828,"Thread::intermediateThreadProc(void *)","14,942.87","17,197.19","2,254.33",
"Thread",18,14396,"Thread::intermediateThreadProc(void *)","14,944.29","16,964.46","2,020.17",
"Thread",19,14632,"Thread::intermediateThreadProc(void *)","14,944.94","18,053.96","3,109.02",
"Thread",20,19752,"Thread::intermediateThreadProc(void *)","14,995.38","29,995.62","15,000.24",
"Thread",21,16868,"Thread::intermediateThreadProc(void *)","14,995.56","192,042.92","177,047.36",
"Thread",22,4996,"_RasmanServiceMonitorThread@0","15,150.03","192,042.92","176,892.89",
"Thread",23,13996,"Thread::intermediateThreadProc(void *)","15,213.68","192,042.89","176,829.21",
"Thread",24,15508,"CRpcThreadCache::RpcWorkerThreadEntry(void *)","15,583.26","105,594.99","90,011.73",
"Thread",25,18444,"Thread::intermediateThreadProc(void *)","15,949.20","16,294.38",345.17,
"Thread",26,11840,"Thread::intermediateThreadProc(void *)","15,949.52","16,310.30",360.79,
"Thread",27,20528,"Thread::intermediateThreadProc(void *)","15,949.74","16,216.16",266.42,
"Thread",28,10036,"Thread::intermediateThreadProc(void *)","15,950.05","16,165.02",214.97,
"Thread",29,13028,"Thread::intermediateThreadProc(void *)","16,006.30","17,173.76","1,167.46",
"Thread",30,1324,"Thread::intermediateThreadProc(void *)","16,006.36","17,810.90","1,804.55",
"Thread",31,17036,"Thread::intermediateThreadProc(void *)","16,006.43","16,933.83",927.39,
"Thread",32,19220,"Thread::intermediateThreadProc(void *)","16,007.58","18,053.92","2,046.34",
"Thread",33,12996,"Thread::intermediateThreadProc(void *)","16,008.26","17,765.68","1,757.42",
"Thread",34,2912,"Thread::intermediateThreadProc(void *)","16,009.50","17,112.82","1,103.32",
"Thread",35,16852,"Thread::intermediateThreadProc(void *)","16,009.58","16,964.17",954.59,
"Thread",36,1524,"Thread::intermediateThreadProc(void *)","16,009.71","17,197.12","1,187.41",
"Thread",37,6976,"Thread::intermediateThreadProc(void *)","16,010.01","16,830.23",820.21,
"Thread",38,11188,"Thread::intermediateThreadProc(void *)","16,795.01","167,897.73","151,102.72",
"Thread",39,3012,"WKS::gc_heap::gc_thread_stub(void *)","18,028.69","78,090.39","60,061.70",
"Thread",40,16376,"Thread::intermediateThreadProc(void *)","21,868.64","192,042.93","170,174.29",
"Thread",41,2780,"Thread::intermediateThreadProc(void *)","21,868.68","192,042.95","170,174.27",
"Thread",42,18076,"_TppWorkerThread@4","22,159.18","192,042.89","169,883.70",
"Thread",43,5836,"Thread::intermediateThreadProc(void *)","27,251.98","28,320.69","1,068.72",
"Thread",44,12200,"Thread::intermediateThreadProc(void *)","27,252.50","28,192.07",939.57,
"Thread",45,2564,"Thread::intermediateThreadProc(void *)","27,252.95","28,750.41","1,497.46",
"Thread",46,12036,"Thread::intermediateThreadProc(void *)","27,253.61","28,785.20","1,531.59",
"Thread",47,21952,"Thread::intermediateThreadProc(void *)","27,254.04","28,186.25",932.20,
"Thread",48,20136,"Thread::intermediateThreadProc(void *)","27,254.48","27,993.71",739.23,
