Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","@JIT_ChkCastInterface@8","@JIT_ChkCastInterface@8",2,2,0.01,0.01,
"Caller","@JIT_ChkCastInterface@8","WordsMatching.HierarchicalWordData.GetKey(object,object)",2,2,0.01,0.01,
"Root","@JIT_IsInstanceOfClass@8","@JIT_IsInstanceOfClass@8",170,170,0.71,0.71,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.BasePage.GetAnswers(string)",38,38,0.16,0.16,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",11,11,0.05,0.05,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.ehow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,2,0.01,0.01,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.MSDNForum.ParseResponse(string)",18,18,0.08,0.08,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",18,18,0.08,0.08,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",9,9,0.04,0.04,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",9,9,0.04,0.04,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.Wikipedia.GetWikiAnswer(string)",20,20,0.08,0.08,
"Caller","@JIT_IsInstanceOfClass@8","BingAnswers.WebSources.Wikipedia.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",45,45,0.19,0.19,
"Root","@JIT_IsInstanceOfInterface@8","@JIT_IsInstanceOfInterface@8",848,848,3.54,3.54,
"Caller","@JIT_IsInstanceOfInterface@8","BingAnswers.BasePage.GetAnswers(string)",145,145,0.61,0.61,
