Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"@JIT_ChkCastInterface@8",2,2,0.01,0.01,
"@JIT_IsInstanceOfClass@8",170,170,0.71,0.71,
"@JIT_IsInstanceOfInterface@8",848,848,3.54,3.54,
"@JIT_Stelem_Ref@12",3,3,0.01,0.01,
"__ASP.FastObjectFactory_app_web_xnqhdwr3.Create_ASP_answers_aspx()",1,0,0.00,0.00,
"__EH_epilog3",1,1,0.00,0.00,
"_JIT_WriteBarrierEAX@0",12,12,0.05,0.05,
"_JIT_WriteBarrierEBX@0",2,2,0.01,0.01,
"_JIT_WriteBarrierEDI@0",2,2,0.01,0.01,
"_PreStubWorker@4",1,0,0.00,0.00,
"_ResolveWorkerAsmStub@0",1,1,0.00,0.00,
"ASP.answers_aspx..ctor()",1,0,0.00,0.00,
"ASP.answers_aspx.__DataBind__control4(object,class System.EventArgs)",2,0,0.01,0.00,
"ASP.answers_aspx.__DataBind__control5(object,class System.EventArgs)",3,0,0.01,0.00,
"ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)","9,492",0,39.64,0.00,
"ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)",7,0,0.03,0.00,
"BingAnswers._Default.Page_Load(object,class System.EventArgs)",2,0,0.01,0.00,
"BingAnswers.Answers..cctor()",1,0,0.00,0.00,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)","9,477",0,39.57,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__0()",5,0,0.02,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__1()",13,0,0.05,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__2()","1,684",0,7.03,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__3()",2,0,0.01,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__4()",8,0,0.03,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__5()",154,0,0.64,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__6()","1,334",0,5.57,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__7()","1,273",0,5.32,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__8()",937,0,3.91,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__9()","2,285",0,9.54,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__a()","3,325",0,13.88,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__b()",8,0,0.03,0.00,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__c()",1,0,0.00,0.00,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)","5,778",419,24.13,1.75,
"BingAnswers.BasePage.GetAnswers(string)","9,459",125,39.50,0.52,
"BingAnswers.BasePage.GetSource(class BingAnswers.Answer,class BingAnswers.Ranker)","11,029",0,46.05,0.00,
"BingAnswers.BasePage.PostInitialize()",1,0,0.00,0.00,
"BingAnswers.QueryAlternation.Speller(string)",6,0,0.03,0.00,
"BingAnswers.Ranker..ctor(string)",14,0,0.06,0.00,
