Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"@JIT_ChkCastInterface@8",1,0.00,1,0.00,"2,472",0,"2,472",0,
"@JIT_ChkCastInterface@8",1,0.00,1,0.00,"2,484",0,"2,484",0,
"@JIT_IsInstanceOfClass@8",30,0.13,30,0.13,212,0,212,0,
"@JIT_IsInstanceOfClass@8",15,0.06,15,0.06,254,0,254,0,
"@JIT_IsInstanceOfClass@8",63,0.26,63,0.26,255,0,255,0,
"@JIT_IsInstanceOfClass@8",33,0.14,33,0.14,259,0,259,0,
"@JIT_IsInstanceOfClass@8",29,0.12,29,0.12,264,0,264,0,
"@JIT_IsInstanceOfInterface@8",33,0.14,33,0.14,"2,375",0,"2,375",0,
"@JIT_IsInstanceOfInterface@8",36,0.15,36,0.15,"2,383",0,"2,383",0,
"@JIT_IsInstanceOfInterface@8",30,0.13,30,0.13,"2,384",0,"2,384",0,
"@JIT_IsInstanceOfInterface@8",19,0.08,19,0.08,"2,389",0,"2,389",0,
"@JIT_IsInstanceOfInterface@8",27,0.11,27,0.11,"2,390",0,"2,390",0,
"@JIT_IsInstanceOfInterface@8",29,0.12,29,0.12,"2,393",0,"2,393",0,
"@JIT_IsInstanceOfInterface@8",276,1.15,276,1.15,"2,402",0,"2,402",0,
"@JIT_IsInstanceOfInterface@8",137,0.57,137,0.57,"2,403",0,"2,403",0,
"@JIT_IsInstanceOfInterface@8",39,0.16,39,0.16,"2,407",0,"2,407",0,
"@JIT_IsInstanceOfInterface@8",164,0.68,164,0.68,"2,414",0,"2,414",0,
"@JIT_IsInstanceOfInterface@8",1,0.00,1,0.00,"2,415",0,"2,415",0,
"@JIT_IsInstanceOfInterface@8",21,0.09,21,0.09,"2,421",0,"2,421",0,
"@JIT_IsInstanceOfInterface@8",7,0.03,7,0.03,"2,422",0,"2,422",0,
"@JIT_IsInstanceOfInterface@8",29,0.12,29,0.12,"2,425",0,"2,425",0,
"@JIT_Stelem_Ref@12",1,0.00,1,0.00,115,0,115,0,
"@JIT_Stelem_Ref@12",1,0.00,1,0.00,140,0,140,0,
"@JIT_Stelem_Ref@12",1,0.00,1,0.00,149,0,149,0,
"__ASP.FastObjectFactory_app_web_xnqhdwr3.Create_ASP_answers_aspx()",0,0.00,1,0.00,1,13,1,88,
"__EH_epilog3",1,0.00,1,0.00,544,0,544,0,
"_JIT_WriteBarrierEAX@0",12,0.05,12,0.05,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEBX@0",2,0.01,2,0.01,"2,299",0,"2,299",0,
"_JIT_WriteBarrierEDI@0",2,0.01,2,0.01,"2,302",0,"2,302",0,
"_PreStubWorker@4",0,0.00,1,0.00,747,0,747,0,
"_ResolveWorkerAsmStub@0",1,0.00,1,0.00,679,0,679,0,
"ASP.answers_aspx..ctor()",0,0.00,1,0.00,1,13,1,84,
"ASP.answers_aspx.__DataBind__control4(object,class System.EventArgs)",0,0.00,2,0.01,60,13,60,210,
"ASP.answers_aspx.__DataBind__control5(object,class System.EventArgs)",0,0.00,3,0.01,72,13,72,179,
"ASP.answers_aspx.ProcessRequest(class System.Web.HttpContext)",0,0.00,"9,492",39.64,1,13,1,88,
"ASP.default_aspx.ProcessRequest(class System.Web.HttpContext)",0,0.00,7,0.03,1,13,1,84,
"BingAnswers._Default.Page_Load(object,class System.EventArgs)",0,0.00,2,0.01,16,13,16,81,
"BingAnswers.Answers..cctor()",0,0.00,1,0.00,22,9,22,48,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,4,0.02,26,13,26,176,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,35,17,35,109,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,1,0.00,37,18,37,85,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,"9,463",39.51,45,17,45,40,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,3,0.01,54,17,54,38,
"BingAnswers.Answers.Page_Load(object,class System.EventArgs)",0,0.00,5,0.02,55,17,55,33,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__0()",0,0.00,5,0.02,39,48,39,69,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__1()",0,0.00,13,0.05,46,48,46,69,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__2()",0,0.00,"1,684",7.03,53,50,53,73,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__3()",0,0.00,2,0.01,60,48,60,69,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__4()",0,0.00,8,0.03,67,48,67,69,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__5()",0,0.00,154,0.64,74,47,74,68,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__6()",0,0.00,"1,334",5.57,81,47,81,68,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__7()",0,0.00,"1,273",5.32,88,49,88,71,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__8()",0,0.00,937,3.91,95,48,95,69,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__9()",0,0.00,"2,285",9.54,102,48,102,69,
"BingAnswers.BasePage.<>c__DisplayClass11.<GetAnswers>b__a()",0,0.00,"3,325",13.88,116,50,116,73,
