Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"App_Web_xnqhdwr3.dll","9,500",0,39.67,0.00,
"BingAnswers.DLL","23,926","1,404",99.91,5.86,
"clr.dll","1,129","1,128",4.71,4.71,
"HtmlAgilityPack.DLL",473,91,1.98,0.38,
"mscorlib.dll","11,073","11,073",46.24,46.24,
"OpenNLP.DLL",17,1,0.07,0.00,
"SharpEntropy.DLL",20,4,0.08,0.02,
"System.Core.dll","20,842","10,053",87.03,41.98,
"System.Data.dll",9,9,0.04,0.04,
"System.dll",34,34,0.14,0.14,
"System.Web.dll","9,502",37,39.68,0.15,
"System.Xml.dll",82,36,0.34,0.15,
"UNKNOWN",1,0,0.00,0.00,
"WordNetClasses.DLL",631,62,2.63,0.26,
"WordsMatching.EXE",689,16,2.88,0.07,
